"date","npkg","nnew","ndrop"
2024-02-12,20424,5,11
2024-02-13,20431,7,0
2024-02-14,20437,7,1
2024-02-15,20435,3,5
2024-02-16,20442,7,0
2024-02-17,20446,14,10
2024-02-18,20446,4,4
2024-02-19,20447,5,4
2024-02-20,20458,13,2
2024-02-21,20459,9,8
2024-02-22,20465,6,0
2024-02-23,20484,20,1
2024-02-24,20484,5,5
2024-02-25,20479,0,5
2024-02-26,20494,16,1
2024-02-27,20500,9,3
2024-02-28,20511,12,1
2024-02-29,20525,21,7
2024-03-01,20525,8,8
2024-03-02,20521,1,5
2024-03-03,20525,4,0
2024-03-04,20527,14,12
2024-03-05,20540,15,2
2024-03-06,20543,3,0
2024-03-07,20552,9,0
2024-03-08,20563,13,2
2024-03-09,20571,8,0
2024-03-10,20565,1,7
2024-03-11,20577,13,1
2024-03-12,20591,15,1
2024-03-13,20596,7,2
2024-03-14,20609,13,0
2024-03-15,20611,4,2
2024-03-16,20611,1,1
2024-03-17,20614,4,1
2024-03-18,20618,6,2
2024-03-19,20627,10,1
2024-03-20,20631,4,0
2024-03-21,20642,13,2
2024-03-22,20654,12,0
2024-03-23,20662,8,0
2024-03-24,20635,0,27
2024-03-25,20643,10,2
2024-03-26,20638,10,15
2024-03-27,20663,11,1
2024-03-28,20667,7,3
2024-03-29,20670,5,2
2024-03-30,20673,3,0
2024-03-31,20672,0,1
2024-04-01,20676,6,2
2024-04-02,20685,11,2
2024-04-03,20692,9,2
2024-04-04,20697,13,8
2024-04-05,20702,9,4
2024-04-06,20703,1,0
2024-04-07,20703,0,0
2024-04-08,20709,9,3
2024-04-09,20714,8,3
2024-04-10,20728,14,0
2024-04-11,20733,5,0
2024-04-12,20715,9,27
2024-04-13,20713,1,3
2024-04-14,20712,2,3
2024-04-15,20719,7,0
2024-04-16,20737,18,0
2024-04-17,20742,6,1
2024-04-18,20760,20,2
2024-04-19,20763,5,2
2024-04-20,20624,0,139
2024-04-21,20623,0,1
2024-04-22,20637,15,1
2024-04-23,20646,10,1
2024-04-24,20638,9,2
2024-04-25,20647,9,0
2024-04-26,20646,0,1
2024-04-27,20653,7,0
2024-04-28,20658,6,1
2024-04-29,20659,1,0
2024-04-30,20671,15,3
2024-05-01,20678,7,0
2024-05-02,20692,16,2
2024-05-03,20699,12,5
2024-05-04,20692,3,10
2024-05-05,20694,2,0
2024-05-06,20699,6,1
2024-05-07,20709,12,2
2024-05-08,20715,7,1
2024-05-09,20716,2,1
2024-05-10,20722,9,3
2024-05-11,20723,2,1
2024-05-12,20721,1,3
2024-05-13,20726,7,2
2024-05-14,20718,14,22
2024-05-15,20734,16,0
2024-05-16,20746,12,0
2024-05-17,20755,12,3
2024-05-18,20757,2,0
2024-05-19,20756,1,2
2024-05-20,20755,0,1
2024-05-21,20765,11,1
2024-05-22,20773,11,3
2024-05-23,20783,11,1
2024-05-24,20786,3,0
2024-05-25,20796,11,1
2024-05-26,20803,7,0
2024-05-27,20808,15,10
2024-05-28,20823,16,1
2024-05-29,20822,3,4
2024-05-30,20832,12,2
2024-05-31,20840,10,2
2024-06-01,20843,6,3
2024-06-02,20858,0,0
2024-06-03,20858,1,1
2024-06-04,20884,27,1
2024-06-05,20894,12,2
2024-06-06,20904,10,0
2024-06-07,20916,13,1
2024-06-08,20916,0,0
2024-06-09,20918,2,0
2024-06-10,20932,14,0
2024-06-11,20948,16,0
2024-06-12,20950,2,0
2024-06-13,20956,12,6
2024-06-14,20943,10,8
2024-06-15,20946,3,0
2024-06-16,20947,4,3
2024-06-17,20956,9,0
2024-06-18,20969,13,0
2024-06-19,20971,3,1
2024-06-20,20981,11,1
2024-06-21,20992,11,0
2024-06-22,20993,1,0
2024-06-23,20993,0,0
2024-06-24,21002,17,8
2024-06-25,21018,16,0
2024-06-26,21024,6,0
2024-06-27,21027,8,5
2024-06-28,21034,13,6
2024-06-29,21033,1,2
2024-06-30,21032,0,1
2024-07-01,21033,5,4
2024-07-02,21039,13,7
2024-07-03,21046,8,1
2024-07-04,21054,10,2
2024-07-05,21055,2,1
2024-07-06,21050,1,6
2024-07-07,21052,2,0
2024-07-08,21061,9,0
2024-07-09,21072,15,4
2024-07-10,21075,4,1
2024-07-11,21077,2,0
2024-07-12,21088,11,0
2024-07-13,21090,2,0
2024-07-14,21100,10,0
2024-07-15,21098,2,4
2024-07-16,21090,3,11
2024-07-17,21088,3,5
2024-07-18,21086,1,3
2024-07-19,21090,7,3
2024-07-20,21092,2,0
2024-07-21,21107,17,2
2024-07-22,21107,1,1
2024-07-23,21114,7,0
2024-07-24,21108,0,6
2024-07-25,21109,1,0
2024-07-26,21111,9,7
2024-07-27,21126,15,0
2024-07-28,21134,8,0
2024-07-29,21136,3,1
2024-08-01,21160,36,12
2024-08-02,21159,0,1
2024-08-03,21160,1,0
2024-08-04,21160,0,0
2024-08-05,21160,0,0
2024-08-06,21160,0,0
2024-08-07,21160,0,0
2024-08-08,21160,0,0
2024-08-09,21160,0,0
2024-08-10,21160,0,0
2024-08-11,21160,0,0
2024-08-12,21160,0,0
2024-08-13,21160,0,0
2024-08-14,21160,0,0
2024-08-15,21159,0,1
2024-08-16,21158,0,1
2024-08-17,21158,0,0
2024-08-18,21159,2,1
2024-08-19,21146,15,28
2024-08-20,21147,9,8
2024-08-21,21155,10,2
2024-08-22,21155,1,1
2024-08-23,21165,12,2
2024-08-24,21165,0,0
2024-08-25,21160,0,5
2024-08-26,21182,23,1
2024-08-27,21184,11,9
2024-08-28,21200,17,1
2024-08-29,21209,9,0
2024-08-30,21221,12,0
2024-08-31,21219,1,3
2024-09-02,21227,14,6
2024-09-03,21246,21,2
2024-09-04,21255,10,1
2024-09-05,21268,17,4
2024-09-06,21269,1,0
2024-09-07,21269,1,1
2024-09-08,21268,0,1
2024-09-09,21277,11,2
2024-09-10,21290,16,3
2024-09-11,21302,14,2
